Event list from https://en.wikipedia.org/wiki/Annual_events_in_Toronto and https://www.toronto.ca/explore-enjoy/festivals-events/,,,
event,date_started,date_ended,comments
Winterlicious,2025-02-01,2025-02-15,First two weeks of February according to Wikipedia
Summerlicious,2025-07-04,2025-07-20,Starts in July according to Wikipedia; generally runs for two weeks (https://www.toronto.ca/news/summerlicious-torontos-favourite-foodie-experience-starts-today-at-more-than-200-restaurants-across-the-city/)
DesignTO Festival,2025-01-24,2025-02-02,https://designto.org/how-to-participate-in-designto/
Canadian International AutoShow,2025-02-14,2025-02-23,https://www.cantonfair.net/event/3525-canadian-international-autoshow
Welcome TO Winter,2024-11-29,2025-03-16,Generally starts on the last Friday in November and ends on the last Sunday in March (https://www.toronto.ca/news/city-of-toronto-welcomes-the-winter-season-by-opening-41-outdoor-ice-rinks/ and https://www.toronto.ca/explore-enjoy/festivals-events/welcome-to-winter/)
Cinéfranco Jeunesse,2025-02-24,2025-03-07,https://cinefranco.com/
Saint Patrick's Day,2025-03-17,2025-03-17,https://en.wikipedia.org/wiki/Saint_Patrick%27s_Day
Canadian Music Week,2025-06-01,2025-06-07,These are estimates based on general trend as dates for 2025 are TBD. https://www.musicfestivalwizard.com/festivals/canadian-music-week-2025/
Sporting Life 10K,2025-05-11,2025-05-11,https://raceguide.ca/race/sporting-life-10k-toronto/
Hot Docs Festival,2025-04-24,2025-05-04,Estimated from previous festival date (https://hotdocs.ca/whats-on/hot-docs-festival)
Khalsa Day,2025-04-12,2025-04-13,Usually starts either on 12th or 13th April (https://en.wikipedia.org/wiki/Vaisakhi#Sikhism)
Toronto Fashion Week,2025-05-01,2025-05-04,Estimated from previous festival date (https://fashionarttoronto.ca/fashion-week-schedule/)
Cabbagetown Forsythia Festival ,2025-05-04,2025-05-04,"https://en.wikipedia.org/wiki/Cabbagetown,_Toronto#Forsythia_Festival"
Doors Open,2025-05-24,2025-05-25,https://www.toronto.ca/explore-enjoy/festivals-events/doors-open-toronto/
Science Rendezvous,2025-05-10,2025-05-10,https://www.predicthq.com/major-events/top-events/science-rendezvous-2025
Anime North,2025-05-23,2025-05-25,Usually the weekend following Victoria Day (https://en.wikipedia.org/wiki/Anime_North)
Toronto Comicon,2025-03-14,2025-03-16,https://www.mtccc.com/single-event/toronto-comicon-2025/
Luminato,2025-06-04,2025-06-15,Estimated from https://www.luminatofestival.com/luminato-festival-toronto-2024-programme-announce
NXNE,2025-06-11,2025-06-15,https://www.destinationtoronto.com/events/annual-festivals-and-events/nxne-north-by-northeast-festival/
Pride Toronto,2025-06-27,2025-06-29,Estimated from https://viewthevibe.com/pride-toronto-announces-dates-and-themes-for-2024-festival/
Toronto Downtown Jazz Festival,2025-06-20,2025-06-29,https://www.jazzfestivalscanada.ca/festivals/toronto/
Toronto International Dragon Boat Festival,2025-06-14,2025-06-15,Estimated from https://mldb.gwnevents.com/toronto-island
Fête de la Musique,2025-06-21,2025-06-21,https://en.wikipedia.org/wiki/F%C3%AAte_de_la_Musique
VRTO Virtual & Augmented Reality World Conference & Expo,2025-06-25,2025-06-26,Estimated from https://www.huffpost.com/entry/the-future-of-tech-just-c_b_10929608
World Naked Bike Ride,2025-06-14,2025-06-14,http://www.worldnakedbikeridetoronto.com/tdmain.htm
Next Stage Theatre Festival,2024-10-16,2024-10-27,https://fringetoronto.com/next-stage/about
Toronto Fringe Festival,2025-07-02,2025-07-13,https://fringetoronto.com/fringe/about
Honda Indy Toronto,2025-07-18,2025-07-20,https://www.indycar.com/Schedule/2025/IndyCar-Series/Toronto
Caribana,2025-07-31,2025-08-04,https://www.caribanatoronto.com/
Beaches International Jazz Festival,2025-07-03,2025-07-27,Estimated date from https://www.carnifest.com/beaches-international-jazz-festival-2025/
Rogers Cup,2025-07-25,2025-08-06,https://nationalbankopen.com/news
